title,authors,affiliations,citedby,publisher,Year
Stability and Hopf-bifurcation analysis of diffusive Leslie–Gower prey–predator model with the Allee effect and carry-over effects,Ramasamy S.,Chulalongkorn University (Thailand),0,Elsevier B.V.,2025
Technology Acceptance for Machine Learning Decision Model in the Health Insurance System,Chitchaiman P.,Chulalongkorn University (Thailand),0,Collegium Basilea,2025
Effect of cutting flute geometry of orthodontic miniscrew on cortical bone microdamage and primary stability using a human bone analog,Wijarn S.,Institute of Science Tokyo (Japan); Graduate School of Medical and Dental Sciences (Japan); Chulalongkorn University (Thailand),0,John Wiley and Sons Inc,2025
Comparative effects of non-fermented and Lacticaseibacillus paracasei-fermented pomelo juice on gut microbiota composition and short-chain fatty acid production: An in vitro colonic model,Balmori V.,Southern Leyte State University (Philippines); Chulalongkorn University (Thailand),0,Elsevier Ltd,2024
Impact of drying techniques on volatile aroma profiles and formation mechanisms of black soybean thua nao,Mathatheeranan P.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2024
Techno-economic performance analysis of biomass-to-methanol with solid oxide electrolyzer for sustainable bio-methanol production,Detchusananard T.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2024
Improvement of biogas productivity from distillery wastewater by partial potassium reduction pretreatment using two-step microfiltration and nanofiltration,Seneesrisakul K.,Walailak University (Thailand),0,Elsevier Ltd,2024
Durability properties of high-strength concrete with high-volume bottom ash as a substitute for cement and fine aggregate,Kampai C.,King Mongkut's University of Technology Thonburi (Thailand),0,Elsevier Ltd,2024
Enhanced energy storage efficiency of an innovative three-dimensional nickel cobalt metal organic framework nanocubes with molybdenum disulphide electrode material as a battery-like supercapacitor,Palanisamy R.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2024
In-vitro and in-silico evaluation of rue herb for SARS-CoV-2 treatment,Khandoker Minu M.,Jashore University of Science and Technology (Bangladesh),0,Elsevier B.V.,2024
Prussian blue/reduced graphene oxide composites cathode material via one-pot precipitation synthesis for enhancing capacity sodium metal pouch cell batteries,Kongthong T.,Thailand National Energy Technology Center (ENTEC) (Thailand),0,Korean Society of Industrial Engineering Chemistry,2024
Primary Progressive Aphasia in Italian and English: A Cross-Linguistic Cohort Study,Mazzeo S.,UCL Queen Square Institute of Neurology (United Kingdom),0,No Publisher,2024
The tryptophan catabolite or kynurenine pathway in long COVID disease: A systematic review and meta-analysis,Almulla A.F.,"Chinese Academy of Medical Sciences &amp; Peking Union Medical College (China); The Islamic University, Najaf (Iraq); University of Electronic Science and Technology of China (China); Faculty of Medicine, Chulalongkorn University (Thailand)",1,Elsevier Ltd,2024
Colorimetric sensors of ultraviolet-C light using diacetylene-zinc(II)-zinc oxide nanocomposites with tunable sensitivity,Siriboon J.,"Faculty of Science, Mahidol University (Thailand)",0,Elsevier B.V.,2024
Design of MnO<inf>2</inf>/g-C<inf>3</inf>N<inf>4</inf> heterojunction composite photocatalysts for augmented charge separation and photocatalytic degradation performance with superior antibacterial activity,Vignesh S.,Saveetha School of Engineering (India); Yeungnam University (Cuba),0,Elsevier B.V.,2024
"Comprehensive In silico and In vitro evaluation of Plectranthus amboinicus essential oil: A promising inhibitor of SARS-CoV-2 B.1.1.529 Omicron variant, proinflammatory biomarkers and diabetes-related enzymes",Bonalos K.M.H.,"University of Santo Tomas, Manila (Philippines)",0,Elsevier B.V.,2024
Environmental and ecological factors associated with stinging jellyfish at a tourism hotspot in the Gulf of Thailand,Mehrotra R.,Love Wildlife Foundation (Thailand); Conservation Diver (United States),0,Academic Press,2024
High entropy metal oxide/TiO<inf>2</inf> nanocomposite for electrocatalytic overall water splitting,Pathan S.C.,Chulalongkorn University (Thailand),1,Elsevier Ltd,2024
Zeolite-decorated black TiO<inf>x</inf> quantum dots for photocatalytic degradation of organic cationic dyes under LED light irradiation,Pour M.R.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2024
Strong electron–phonon coupling and predicted high superconducting transition temperature of MXenes revealed in 2H-Mo<inf>2</inf>N under biaxial stress,Kotmool K.,King Mongkut's Institute of Technology Ladkrabang (Thailand),0,Elsevier B.V.,2024
Two-group drift-flux model for dispersed gas-liquid flow in rectangular channel,Khunsrimek N.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2024
Evaluation of shear strength models for ETS-FRP-retrofitted beams subjected to shear-critical failure,Van Hong Bui L.,Ho Chi Minh City University of Technology - HCMUT (Viet Nam); Viet Nam National University Ho Chi Minh City (Viet Nam),0,Elsevier Ltd,2024
Application of Box-Behnken design in monoglycerides production via glycerolysis of palm oil using homogenizer reactor,Hiranlordsanti P.,Rajamangala University of Technology Thanyaburi (RMUTT) (Thailand),2,Elsevier B.V.,2024
Balancing current density and electrolyte flow for improved zinc-air battery cyclability,Khezri R.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2024
Perfect codes in m-Cayley hypergraphs,Wannatong K.,Chulalongkorn University (Thailand),0,Elsevier B.V.,2024
"Mosquito larvae (Aedes aegypti), Francisella orientalis and tilapia (Oreochromis sp.): Relationship of host-pathogen-carrier in disease transmission",Nguyen V.V.,Research Institute for Aquaculture No. 1 Bac Ninh (Viet Nam); Chulalongkorn University (Thailand),0,Elsevier B.V.,2024
Fabrication of superhydrophobic TiN-coated SS304 flow field plates via femtosecond laser processing for fuel cell applications,Devi N.,National Chung Cheng University (Taiwan),0,Elsevier Ltd,2024
Molecular profiles and long-term outcomes of Thai children with hepatic glycogen storage disease in Thailand,Vanduangden J.,Chulalongkorn University (Thailand),0,Baishideng Publishing Group Inc,2024
Validation of prognostic scores for predicting acute liver failure and in-hospital death in patients with dengue-induced severe hepatitis,Teerasarntipan T.,"Faculty of Medicine, Chulalongkorn University (Thailand)",0,Baishideng Publishing Group Inc,2024
The application of cyclodextrins in drug solubilization and stabilization of nanoparticles for drug delivery and biomedical applications,Soe H.M.S.H.,Xi'an Jiaotong-Liverpool University (China),0,Elsevier B.V.,2024
Cu(II) detection by a fluorometric probe based on thiazoline-amidoquinoline derivative and its application to water and food samples,Paisuwan W.,Chulalongkorn University (Thailand); Walailak University (Thailand),0,Elsevier B.V.,2024
Effect of ozone on Vibrio removal in a simulated earthen shrimp pond,Sitthi S.,Chulalongkorn University (Thailand),0,IWA Publishing,2024
"Novel Mastadenovirus Infection as Cause of Pneumonia in Imported Black-and-White Colobuses (Colobus guereza), Thailand",Piewbang C.,Chulalongkorn University (Thailand),0,Centers for Disease Control and Prevention (CDC),2024
"Extraction and characterization of pectin from passion fruit peel, and its application in synbiotic ice cream: A study from Phetchabun, Thailand",Pimisa R.,Chulalongkorn University (Thailand); Naresuan University (Thailand),0,Elsevier B.V.,2024
Colorimetric detection of anionic surfactant using polydiacetylene/zinc (II)/zinc oxide nanocomposites with unique yellow-to-red color transition,Yimkaew W.,Chulalongkorn University (Thailand),0,Elsevier B.V.,2024
Novel electroporation microchip with field constriction enhances transfection efficiency and survival rates of feline embryos,Kallayanathum W.,Chulalongkorn University (Thailand),0,Nature Research,2024
"Pan-Asian adapted ESMO Clinical Practice Guidelines for the diagnosis, treatment and follow-up of patients with oncogene-addicted metastatic non-small-cell lung cancer",Lee S.H.,"Samsung Medical Center, Sungkyunkwan university (South Korea)",0,Elsevier B.V.,2024
"Correction to: Comparative time-series analyses of gut microbiome profiles in genetically and chemically induced lupus-prone mice and the impacts of fecal transplantation (Scientific Reports, (2024), 14, 1, (26371), 10.1038/s41598-024-77672-4)",Chatthanathon P.,Chulalongkorn University (Thailand),0,Nature Research,2024
Phosphonium-based ionic liquids for separating H<inf>2</inf>S and CO<inf>2</inf> from natural gas: insights from molecular dynamics simulation,Yahaya U.M.,Chulalongkorn University (Thailand),0,Elsevier B.V.,2024
Development of dihydrooxyresveratrol-loaded nanostructured lipid carriers for safe and effective treatment of hyperpigmentation,Mikled P.,Chulalongkorn University (Thailand); Thailand National Nanotechnology Center (Thailand),0,Nature Research,2024
"The effects of alpha-lipoic acid transdermal patch for local subcutaneous fat reduction: A randomized, placebo-controlled, clinical trial in overweight volunteers",Sooklert K.,"Faculty of Medicine, Chulalongkorn University (Thailand)",0,Elsevier Inc.,2024
Kunitz-type trypsin inhibitor from durian (Durio zibethinus) employs a distinct loop for trypsin inhibition,Deetanya P.,Chulalongkorn University (Thailand),0,John Wiley and Sons Inc,2024
"Towards low-carbon travel trips through carbon footprint: A case study of marine tourism in Sichang Island, Thailand",Sakcharoen T.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2024
The SPT-Chandra BCG Spectroscopic Survey. I. Evolution of the Entropy Threshold for ICM Cooling and AGN Feedback in Galaxy Clusters over the Last 10 Gyr,Calzadilla M.S.,MIT Kavli Institute for Astrophysics and Space Research (United States); Harvard-Smithsonian Center for Astrophysics (United States),0,Institute of Physics,2024
Functional and pathogenic insights into CNNM4 variants in Jalili syndrome,Rattanapornsompong K.,Chulalongkorn University (Thailand),0,Nature Research,2024
Synthesis and characterization of photopolymerizable piezoelectric KNN-based methacrylated hyaluronic acid hydrogel scaffolds,Thu M.,Chulalongkorn University (Thailand); Norges Teknisk-Naturvitenskapelige Universitet (Norway),0,Elsevier Ltd,2024
Investigation of co-seismic stress and aftershock distribution along the Sumatra–Andaman subduction zone,Sukrungsri S.,Chulalongkorn University (Thailand),0,Springer Science and Business Media Deutschland GmbH,2024
Supplementation of glutamine in a short-term boar semen extender during 17°C holding time enhances post-thaw sperm quality for cryopreservation,Nuntapaitoon M.,Chulalongkorn University (Thailand),0,BioMed Central Ltd,2024
"Global burden of disease attributable to metabolic risk factors in adolescents and young adults aged 15–39, 1990–2021",Zhou X.D.,The First Affiliated Hospital of Wenzhou Medical University (China),0,Churchill Livingstone,2024
Enrichment of LDPE-degrading bacterial consortia: Community succession and enhanced degradation efficiency through various pretreatment methods,Muangchinda C.,Chulalongkorn University (Thailand),0,Nature Research,2024
In vitro assessment of the impact of passion fruit peel–extracted pectin added with probiotic strains on the human intestinal microbiota and metabolic activity,Pimisa R.,Chulalongkorn University (Thailand); Naresuan University (Thailand); CSIC - Instituto de Productos Lacteos de Asturias (IPLA) (Spain),0,Academic Press,2024
Phage cocktail amikacin combination as a potential therapy for bacteremia associated with carbapenemase producing colistin resistant Klebsiella pneumoniae,Shein A.M.S.,"Faculty of Medicine, Chulalongkorn University (Thailand)",0,Nature Research,2024
Decoding VExUS: a practical guide for excelling in point-of-care ultrasound assessment of venous congestion,Assavapokee T.,"Faculty of Medicine Ramathibodi Hospital, Mahidol University (Thailand)",0,Springer-Verlag Italia s.r.l.,2024
Identification of dynamic properties of a flooded ballast layer using impact excitation technique and minimization algorithm,Wangtawesap R.,Chulalongkorn University (Thailand),0,Springer Nature,2024
"Erratum: Burden of disease attributable to high body mass index: an analysis of data from the Global Burden of Disease Study 2021 (eClinicalMedicine (2024) 76, (S2589537024004279), (10.1016/j.eclinm.2024.102848))",Zhou X.D.,The First Affiliated Hospital of Wenzhou Medical University (China),0,Elsevier Ltd,2024
Synthesis and characterization of zeolite – Titanium dioxide composite material for ethylene adsorbing and scavenging dual action in coated paper packaging for postharvest product,Siangyai R.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2024
Different Doxorubicin Sensitivity Across Various Human Cancer Cell Lines,Pummarin S.,"Faculty of Medicine, Chulalongkorn University (Thailand)",0,Walailak University,2024
Toward personalized cancer management: Role of precision nutrition–diet interventions,Guo H.,Shaanxi University of Technology (China),0,Elsevier Ltd,2024
"Effect of health education on knowledge, perception, and intended contraceptive use for family planning among university students in Pakistan",Kumar R.,Chulalongkorn University (Thailand),0,Nature Research,2024
Effect of a 1.1% NaF toothpaste containing Sr/F-doped bioactive glass on irradiated demineralized dentin: an in vitro study,Gesprasert C.,Thammasat University (Thailand),0,BioMed Central Ltd,2024
Risk of early etonogestrel and levonorgestrel implant discontinuation in adolescents and adults,Chandi C.,"Faculty of Medicine, Chulalongkorn University (Thailand)",0,BioMed Central Ltd,2024
"Retraction notice to “A droplet-based electricity generator with high instantaneous power density, high efficiency, and reliable long-term stability” [Mater. Today Energy (2024) 101653] (Materials Today Energy (2024) 44, (S2468606924001655), (10.1016/j.mtener.2024.101653))",Nantapak T.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2024
Gardenia jasminoides fruit extract alleviates non-steroidal anti-inflammatory drug–induced gastropathy in rats,Worapongpaiboon R.,"Faculty of Medicine, Chulalongkorn University (Thailand)",0,BioMed Central Ltd,2024
Functional characterization of macrophages and change of Th1/Th2 balance in patients with pythiosis after Pythium insidiosum antigen immunotherapy,Medhasi S.,Chulalongkorn University (Thailand),0,Nature Research,2024
Loss of O<sup>6</sup>-methylguanine DNA methyltransferase (MGMT) in macrophages alters responses to TLR3 stimulation and enhances DNA double-strand breaks and mitophagy,Haque M.F.,Chulalongkorn University (Thailand); University of Rajshahi (Bangladesh),0,Nature Research,2024
Identification and functional analysis of novel SPTB and ANK1 mutations in hereditary spherocytosis patients,Panarach C.,Chulalongkorn University (Thailand),0,Nature Research,2024
