title,authors,affiliations,citedby,publisher,Year
Workplace health promotion management of non-communicable disease prevention and implementation among organizational leaders and human resource executives in Thailand: A qualitative study,Ratanachina J.,"National Heart and Lung Institute (United Kingdom); Faculty of Medicine, Chulalongkorn University (Thailand)",0,Mahidol University - ASEAN Institute for Health Development,2024
Investigating Students’ Behavioral Intentions towards a Smart Learning Platform Based on Machine Learning: A User Acceptance and Experience Perspective,Sukkeewan P.,Chulalongkorn University (Thailand),0,International Journal of Information and Education Technology,2024
Investigating the Formation of Ethical Animal-Related Tourism Behaviors: A Self-Interest and Pro-Social Theoretic Approach,Fakfare P.,Bangkok University (Thailand),6,SAGE Publications Inc.,2024
Tardive dyskinesia in Asia— current clinical practice and the role of neurologists in the care pathway,Bhidayasiri R.,King Chulalongkorn Memorial Hospital (Thailand); Academy of Science (Thailand),1,Frontiers Media SA,2024
A Synthesized Model for Applying Stress Management and Biofeedback Interventions in Research Utilization: A Systematic Review and Meta-analysis,Ruchiwit M.,Rattana Bundit University (Thailand),2,Bentham Science Publishers,2024
Kaempferia parviflora Extracellular Vesicle Loaded with Clarithromycin for the Treatment of Helicobacter pylori Infection,Nemidkanam V.,Chulalongkorn University (Thailand),3,Dove Medical Press Ltd,2024
Selenium supplementation in inactive moderate to severe Graves’ orbitopathy patients: a randomized controlled trial,Potita P.,"Faculty of Medicine, Chulalongkorn University (Thailand)",1,Taylor and Francis Ltd.,2024
Morpho-anatomical characterization and DNA barcoding of Artemesia vulgaris L.,Wahyuni D.K.,Universitas Airlangga (Indonesia),0,Instituto Internacional de Ecologia,2024
The Relationship between Managerial Ownership and Firm Performance Mediated by Real Earnings Management of Thai IPO Firms,Semsomboon M.,Rajamangala University of Technology Thanyaburi (RMUTT) (Thailand),0,World Scientific and Engineering Academy and Society,2024
"Impacts of the nationally determined contribution to the 1.5 °C climate goal and net-zero target on citywide greenhouse gas emissions: a case study on Bangkok, Thailand",Sugsaisakon S.,Chulalongkorn University (Thailand),0,Springer Science and Business Media B.V.,2024
220-325-GHz Horn-Type Adapter for Terahertz Microstructured Fiber Measurements,Viratikul R.,Chulalongkorn University (Thailand),4,Institute of Electrical and Electronics Engineers Inc.,2024
E-SEVSR - Edge Guided Stereo Endoscopic Video Super-Resolution,Hayat M.,Chulalongkorn University (Thailand),7,Institute of Electrical and Electronics Engineers Inc.,2024
Efficacy of Three Remineralizing Agents on Erosion of Root Dentin by Cola Drink: An In Vitro Study,Ratanachina S.,Chulalongkorn University (Thailand),0,"Thieme Medical Publishers, Inc.",2024
Prompt-Based Label-Aware Framework for Few-Shot Multi-Label Text Classification,Thaminkaew T.,Chulalongkorn University (Thailand),0,Institute of Electrical and Electronics Engineers Inc.,2024
The interaction of Suk‑Saiyasna remedy with GABAA and CB1 receptor‑targeting drugs: Enhancing hypnotic and sedative effects in in vivo models,Damjuti W.,Rajamangala University of Technology Thanyaburi (RMUTT) (Thailand),1,Wolters Kluwer Medknow Publications,2024
The Effects of Peer Feedback and Self-Regulated Learning on Thai EFL Students’ Writing Ability and Self-Regulation,Prompan J.,Chulalongkorn University (Thailand),1,"Language Institute, Thammasat University",2024
Global or Local Identities? How Thai Learners in an English Program Project Themselves through L2 Pronunciation in ELF Encounters,Prakaianurat P.,Kasetsart University (Thailand),0,"Language Institute, Thammasat University",2024
Materials-based drug delivery approaches: Recent advances and future perspectives,Pei J.J.,Shaanxi University of Technology (China),9,Walter de Gruyter GmbH,2024
Effect of Ti<inf>3</inf>AlC<inf>2</inf> MAX phase on electrochemical performance of thermo-responsive copolymer electrolyte for solid state zinc-ion battery,Dueramae I.,Metallurgy and Materials Research Institute Chulalongkorn University (Thailand),1,KeAi Communications Co.,2024
"Effects of Multidimensional Hyperkyphotic Corrective Exercise on Thoracic Kyphotic Angle, Trunk Extensor Muscle Strength, and Balance During Walking in Women with Postural Hyperkyphosis",Maidee P.,"Faculty of Medicine, Chulalongkorn University (Thailand)",0,American Society of Exercise Physiologists,2024
Oral bacteriophages: metagenomic clues to interpret microbiomes,Banar M.,School of Public Health (Iran),2,PeerJ Inc.,2024
Predictors of increased affective symptoms and suicidal ideation during the COVID-19 pandemic: results from a large-scale study of 14 271 Thai adults,Supasitthumrong T.,"Faculty of Medicine, Chulalongkorn University (Thailand)",1,BMJ Publishing Group,2024
Quantum Neural Network model for Token allocation for Course Bidding,Laokondee S.,Ltd. (Thailand),0,ECTI Association,2024
Counterfactual imagination impairs memory for true actions: EEG and behavioural evidence,Dhammapeera P.,Chulalongkorn University (Thailand); University of Kent (United Kingdom),1,Routledge,2024
Effects of motivation to use social networking sites on students’ media literacy and critical thinking,Shieh C.J.,Chulalongkorn University (Thailand),2,Bastas,2024
Measurement of the τ lepton polarization in Z boson decays in proton-proton collisions at (Formula presented.),Hayrapetyan A.,Yerevan Physics Institute (Armenia),2,Springer Science and Business Media Deutschland GmbH,2024
"From causality to blame: exploring flooding, factories and land conversion in Eastern Thailand",Lattanan P.,Chulalongkorn University (Thailand),0,Routledge,2024
Crude extracts of Momordica cochinchinensis (Lour.) Spreng exerts antioxidant and anti-neuroinflammatory properties in LPS-stimulated BV2 microglia,Mairuae N.,Mahasarakham University (Thailand),1,University of Benin,2024
Translation and psychometric validation of the Thai version of TeamSTEPPS® team performance observation tool,Kheawwan P.,King Chulalongkorn Memorial Hospital (Thailand),1,Taylor and Francis Ltd.,2024
"Spatial Distribution Analysis of Cannabis-Infused Food and Drink Establishments in Pathum Thani Province, Thailand Through Geographic Information Systems",Tanthanapanyakorn P.,Chulalongkorn University (Thailand),2,Association for Geoinformation Technology,2024
Inclusion of Social Work in Comprehensive Palliative Care to Address Psychosocial Needs of Advanced Cancer Patients in Vietnam,Truong Q.X.N.,VinUniversity (Viet Nam); Chulalongkorn University (Thailand); University Medical Center Ho Chi Minh City (Viet Nam),2,Routledge,2024
A Review on Supporting Roles of Phytochemicals and Advances in Their Nanoformulations for Lung Diseases,Supramaniam K.,"School of Pharmaceutical Sciences, Universiti Sains Malaysia (Malaysia)",0,Universiti Putra Malaysia Press,2024
Riparian Community with a Shared Future: Improving Legal Mechanism for Transboundary Water Governance and Conflicts Resolution in the Lancang-Mekong Basin,Duan H.,Chulalongkorn University (Thailand),0,"Greater Mekong Subregion Academic and Research Network, Asian Institute of Technology",2024
Integrated management of surface water and groundwater for climate change adaptation using hydrological modeling,Petpongpan C.,King Mongkut's University of Technology Thonburi (Thailand),2,Springer Science and Business Media B.V.,2024
"Indigenous knowledge in the sustainable management of a biodiversity-based millennium-old tea forest in the highlands of Yunnan Province, southwestern China",Yang H.,Chulalongkorn University (Thailand),1,Taylor and Francis Ltd.,2024
Comparing the efficacy of therapeutic Thai acupressure on plantar acupoints and laser cane therapy on freezing of gait in Parkinson’s disease: a randomized non-inferiority trial,Miyahara Y.,"King Chulalongkorn Memorial Hospital (Thailand); Faculty of Medicine, Chulalongkorn University (Thailand); Wat Pho Thai Traditional Medical School (Thailand)",2,Frontiers Media SA,2024
Enhancing Immunization Uptake for Influenza and Pertussis in Thai Pregnant Women through Educational Sessions,Kumyod W.,"Faculty of Medicine, Chulalongkorn University (Thailand); Regional Health Promotion Center 5 (Thailand)",0,Medical Association of Thailand,2024
Workflows and Laboratory Cost for Removable Digital Complete Denture: Two Case Reports with and without Existing Denture,Techapiroontong S.,Chulalongkorn University (Thailand),1,Hindawi Limited,2024
Increased IgA-mediated responses to the gut paracellular pathway and blood–brain barrier proteins predict delirium due to hip fracture in older adults,Thisayakorn P.,"Faculty of Medicine, Chulalongkorn University (Thailand)",1,Frontiers Media SA,2024
A novel framework for effective structural vulnerability assessment of tubular structures using machine learning algorithms (GA and ANN) for hybrid simulations,Zain M.,Chulalongkorn University (Thailand),7,Walter de Gruyter GmbH,2024
An innovation-based virtual flipped learning system in a ubiquitous learning environment the 21st century skills of higher education learners,Khlaisang J.,Chulalongkorn University (Thailand),0,"International Forum of Educational Technology and Society,National Taiwan Normal University",2024
Infrapatellar fat pad adipose tissue-derived macrophages display a predominant CD11c+CD206+ phenotype and express genotypes attributable to key features of OA pathogenesis,Hengtrakool P.,Chulalongkorn University (Thailand),1,Frontiers Media SA,2024
Expression of PD-L1 and p-RPS6 in epithelial dysplasia and squamous cell carcinoma of the oral cavity,Hanroongsri J.,Thammasat University (Thailand),0,Frontiers Media SA,2024
Enhancing oral bioavailability of andrographolide using solubilizing agents and bioenhancer: comparative pharmacokinetics of Andrographis paniculata formulations in beagle dogs,Songvut P.,Laboratory of Pharmacology (Thailand),3,Taylor and Francis Ltd.,2024
Effects of Dynamic Assessment on Improvement of Academic Vocabulary Knowledge of Thai EFL Low-Proficiency University Students,Klungthong D.,Chulalongkorn University (Thailand),0,"Language Institute, Thammasat University",2024
"Correction to: A Systematic Survey on Implementation of Fuzzy Regression Models for Real Life Applications (Archives of Computational Methods in Engineering, (2024), 31, 1, (291-311), 10.1007/s11831-023-09978-x)",Khan M.,Lovely Professional University (India),0,Springer Science and Business Media B.V.,2024
"Investigating Beliefs, Attitudes and Motivation toward English Language Learning among Thai and Chinese Undergraduate Students in Different Study Programs",Sun L.G.,Chulalongkorn University (Thailand),0,"Language Institute, Thammasat University",2024
Peritoneal Dialysis-Related Peritonitis Caused by Lysinibacillus sphaericus,Thanachayanont T.,Bhumirajanagarindra Kidney Institute (Thailand),0,Hindawi Limited,2024
Fine Tuning of On-Board Traction Converters for High-Speed Electric Multiple Units at Depot,Dey P.,Mahidol University (Thailand),3,Institute of Electrical and Electronics Engineers Inc.,2024
Ontogenetic shifts in Symbiodiniaceae assemblages within cultured Acropora humilis across hatchery rearing and post-transplantation phases,Jandang S.,"Kyushu University, Research Institute for Applied Mechanics (Japan); Okinawa Institute of Science and Technology Graduate University (Japan); Chulalongkorn University (Thailand)",1,Frontiers Media SA,2024
Rationale and protocol paper for the Asia Pacific Network for inherited eye diseases,Wong W.M.,National University Hospital (Singapore); NUS Yong Loo Lin School of Medicine (Singapore),1,Elsevier B.V.,2024
Relationship Between Pesticide Exposure Factors and Health Symptoms Among Chili Farmers in Northeast Thailand,Pengpan R.,"Kasetsart University, Chalermphrakiat Sakon Nakhon Province Campus (Thailand)",2,Korean Society for Preventive Medicine,2024
"Sleep Quality and Associated Factors Among Firefighters in Bangkok, Thailand: A Cross-sectional Study",Piyachaiseth N.,"Faculty of Medicine, Chulalongkorn University (Thailand)",0,Korean Society for Preventive Medicine,2024
Assessment of Farmworker's Level of Knowledge in Banana Cultivation and its Implication on Productivity Improvement in the Lower Shabelle Region of Somalia,Farah I.D.,Chulalongkorn University (Thailand),0,Institute of Physics,2024
"Myanmar endemic Burmorthacris subaptera Kevan, Singh et Akbar, 1964 (Pyrgomorphidae: Orthacridini) rediscovered after 85 years",Sirichantakul K.,Chulalongkorn University (Thailand),0,Magnolia Press,2024
EXAMINING THE INFLUENCES OF SATISFACTION AND TRUST ON THE BEHAVIORAL INTENTIONS OF CUSTOMERS WHO DINED IN CASUAL DINING RESTAURANTS: A MIXED-METHODS APPROACH,Senachai P.,Khon Kaen University (Thailand),5,Assumption University,2024
"Integrated taxonomy of three new species of Glyphiulus Gervais, 1847 (Diplopoda, Spirostreptida, Cambalopsidae) from Laos",Likhitrakarn N.,Maejo University (Thailand),0,Centre for Medical Education (CenMed) Yong Loo Lin School of Medicine National University of Singapore,2024
"Group divisible designs GDD(n, n, n, 2; λ<inf>1</inf>, λ<inf>2</inf>)",Sakda A.,Rajabhat University (Thailand),0,University of Queensland,2024
"Molecular phylogeny and taxonomic position of Macrobrachium lanchesteri (De Man, 1911), with descriptions of two new species from Thailand (Decapoda, Caridea, Palaemonidae)",Chaowvieng A.,"Faculty of Science, Mahidol University (Thailand)",0,Pensoft Publishers,2024
Pediatric appendicitis or not: A retrospective cohort study from a single institution-our management and factors determining the disease,Srisan N.,"Faculty of Medicine, Chulalongkorn University (Thailand)",0,Chulalongkorn University Printing House,2024
"The impact of the interval between the last meal and the onset of farrowing on the duration of farrowing, stillbirth rates, and colostrum production in highly productive sows in a tropical climate",Akkhaphana T.A.,Chulalongkorn University (Thailand),0,Japanese Society of Veterinary Science,2024
Comparison of endoscopic-guided vs. electromyography-guided Botulinum toxin injection treatments in adductor spasmodic dysphonia,Praditthum M.,"Faculty of Medicine, Chulalongkorn University (Thailand)",0,Chulalongkorn University Printing House,2024
Prevalence and determinants of potentially inappropriate medications in elderly inpatients in Thailand: a retrospective observational study based on the 2019 Beers criteria,Sriboonruang T.,Chulalongkorn University (Thailand),1,BioMed Central Ltd,2024
Early childhood caries and its associated factors among 5-years-old Myanmar children,Min S.N.,Chulalongkorn University (Thailand),1,Frontiers Media SA,2024
An Online Course Recommender System in e-Learning Using Learners’ Profile and Learning Behavior-Based Mechanism,Niranatlamphong W.,Dhurakij Pundit University (Thailand),0,International Journal of Information and Education Technology,2024
Primary lung and pleural malignancies in children: Imaging of a case series,Phewplung T.,"King Chulalongkorn Memorial Hospital (Thailand); Faculty of Medicine, Chulalongkorn University (Thailand)",0,Chulalongkorn University Printing House,2024
Expert consensus guidelines for community pharmacists in the management of diabetic peripheral neuropathy with a combination of neurotropic B vitamins,Sathienluckana T.,Siam University (Thailand),3,BioMed Central Ltd,2024
Human Epididymis Protein 4 (HE4) and Cancer Antigen 125 (CA125) for Prediction of Optimal Primary Surgery in Non-Mucinous Epithelial Ovarian Cancer,Promchit K.,"Faculty of Medicine, Thammasat University (Thailand); Faculty of Medicine, Chulalongkorn University (Thailand)",0,Asian Pacific Organization for Cancer Prevention,2024
Double versus Single Primary Malignant Neoplasm of Breast and Colorectal Cancer: A Case-Control Study,Tantiphlachiva K.,"Faculty of Medicine, Chulalongkorn University (Thailand)",0,Asian Pacific Organization for Cancer Prevention,2024
Evaluation of P53 immunostaining in patients with cutaneous melanoma,Meevassana J.,Chulalongkorn University (Thailand),2,Spandidos Publications,2024
"Executive function and adult homelessness, true impairment or frontal lobology?",Pluck G.,Chulalongkorn University (Thailand); The University of Sheffield (United Kingdom),0,Frontiers Media SA,2024
FACTORS INFLUENCING PRODUCTIVITY AND SUSTAINABILITY OF SMALL-SCALE BEEF FARMS IN THAILAND,Panbamrungkij T.,Chulalongkorn University (Thailand); Universität Wien (Austria),1,Assumption University,2024
"Relationship of shift work with liver enzyme abnormalities and nonalcoholic fatty liver disease: A retrospective cohort study of Thai workers in Bangkok, Thailand",Taechasan N.,"Faculty of Medicine, Chulalongkorn University (Thailand)",0,Mahidol University - ASEAN Institute for Health Development,2024
Milk protein based encapsulation of probiotics and other food material: comprehensive review,Afzal A.,Government College University Faisalabad (Pakistan),1,Taylor and Francis Ltd.,2024
CpG methylation changes in Alu repetitive sequences in normal aging due to diastolic hypertension in human dermal fibroblasts from the facial area,Jiraboonsri S.,Chulalongkorn University (Thailand),1,Spandidos Publications,2024
Ex vivo observation of Pythium insidiosum-antigen treated neutrophils on three Pythium insidiosum strains isolated from vascular pythiosis patients,Medhasi S.,Chulalongkorn University (Thailand),1,Taylor and Francis Ltd.,2024
Design of control systems with multiple memoryless nonlinearities for inputs restricted in magnitude and slope,Chuman T.,Chulalongkorn University (Thailand),0,Taylor and Francis Ltd.,2024
Diversity and antimicrobial activity of the tropical ant-derived actinomycetes isolated from Thailand,Tunvongvinis T.,Chulalongkorn University (Thailand),1,AIMS Press,2024
Effect of thermocycling on the retentive force of the retentive inserts in three denture attachments and their water absorption ability,Kamonkhantikul K.,Chulalongkorn University (Thailand),0,Japanese Society for Dental Materials and Devices,2024
Did ‘Burmese Way to Socialism’ Create Jobs Equitably?,Khine O.,Chulalongkorn University (Thailand),0,Thammasat University,2024
Small signal stability enhancement of large interconnected power system using grasshopper optimization algorithm tuned power system stabilizer,Dey P.,Mahidol University (Thailand),0,Academic Press Inc.,2024
Graphene-Based Nanocomposites in Electrochemical Sensing,Pengsomjit U.,Chulalongkorn University (Thailand),0,Springer Science and Business Media Deutschland GmbH,2024
Deciphering molecular basis of pesticide-induced recurrent pregnancy loss: insights from transcriptomics analysis,Luthfi M.,Chulalongkorn University (Thailand),1,Taylor and Francis Ltd.,2024
"Geophysical and chemical characteristics of peatland in coastal wetland, southern Thailand",Phiranram T.,Chulalongkorn University (Thailand),0,Frontiers Media SA,2024
Factors associated with internalized HIV-related stigma among people living with HIV in Thailand,Horsakulchai W.,"Faculty of Medicine, Chiang Mai University (Thailand)",1,Routledge,2024
"Aesthetically acceptable cephalometric treatment goal differences for straight, concave, and convex facial profiles between genders",Pornsirianand V.,Chulalongkorn University (Thailand),0,Taylor and Francis Ltd.,2024
The grand challenge at the frontiers of neurotechnology and its emerging clinical applications,Bhidayasiri R.,King Chulalongkorn Memorial Hospital (Thailand); Academy of Science (Thailand),2,Frontiers Media SA,2024
Clinical Performance of Self-collected Specimen HPV-DNA vs Clinician- collected Specimen HPV-mRNA to Detect High-risk HPV and High-grade Cervical Lesions and Cancer,Kittisiam T.,Rangsit University (Thailand),0,Asian Pacific Organization for Cancer Prevention,2024
Memory loss can prevent chaos in games dynamics,Bielawski J.,Krakow University of Economics (Poland),0,American Institute of Physics Inc.,2024
Metabolomics responses and tolerance of Pseudomonas aeruginosa under acoustic vibration stress,Vinayavekhin N.,Chulalongkorn University (Thailand),1,Public Library of Science,2024
Incorporating clinical observations in blended learning for comprehensive medical education,Varama A.,Chulalongkorn University (Thailand),0,Taylor and Francis Ltd.,2024
"Seven new species of the segmented spider genus Liphistius (Mesothelae, Liphistiidae) in Thailand and Myanmar",Sivayyapram V.,Chulalongkorn University (Thailand),1,Pensoft Publishers,2024
Physicians’ awareness of medication-related osteonecrosis of the jaw in patients with osteoporosis,Supanumpar N.,Chulalongkorn University (Thailand),0,Public Library of Science,2024
"Domestic Cat Hepadnavirus Antigens in Lymphoma Tissues. Comment on Beatty et al. Domestic Cat Hepadnavirus and Lymphoma. Viruses 2023, 15, 2294",Piewbang C.,Chulalongkorn University (Thailand),1,Multidisciplinary Digital Publishing Institute (MDPI),2024
"Combined Effects of Clarifying Agents Improve Physicochemical, Microbial and Sensorial Qualities of Fresh Indian Gooseberry (Phyllanthus emblica L.) Juice during Refrigerated Storage",Jafari S.,Chulalongkorn University (Thailand),1,Multidisciplinary Digital Publishing Institute (MDPI),2024
"Parental Involvement, Academic Self-Efficacy, and Depression on Academic Performance Among Chinese Students During COVID-19 Pandemic",Kang L.,Fujian Medical University (China),6,Dove Medical Press Ltd,2024
UV-Crosslinked Poly(N-isopropylacrylamide) Interpenetrated into Chitosan Structure with Enhancement of Mechanical Properties Implemented as Anti-Fouling Materials,Dueramae I.,Metallurgy and Materials Research Institute Chulalongkorn University (Thailand); Tokai University (Japan),0,Multidisciplinary Digital Publishing Institute (MDPI),2024
"Larval Dispersal Modelling of the Blue Swimming Crab Portunus pelagicus (Linnaeus, 1758) from the Crab Banks along the Coast of Trang Province, Southern Thailand",Onsri N.,Rajamangala University of Technology Srivijaya (Thailand); Chulalongkorn University (Thailand),0,Multidisciplinary Digital Publishing Institute (MDPI),2024
Regulated Phase Separation in Al–Ti–Cu–Co Alloys through Spark Plasma Sintering Process,Lee S.,Nagoya University (Japan),0,Multidisciplinary Digital Publishing Institute (MDPI),2024
A multivariable normal tissue complication probability model for predicting radiation-induced hypothyroidism in nasopharyngeal carcinoma patients in the modern radiotherapy era,Wongwattananard S.,"Faculty of Medicine, Chulalongkorn University (Thailand)",0,Oxford University Press,2024
Association of a Specific OsCULLIN3c Haplotype with Salt Stress Responses in Local Thai Rice,Herwibawa B.,Chulalongkorn University (Thailand),0,Multidisciplinary Digital Publishing Institute (MDPI),2024
Boesenbergia rotunda and Its Pinostrobin for Atopic Dermatitis: Dual 5-Lipoxygenase and Cyclooxygenase-2 Inhibitor and Its Mechanistic Study through Steady-State Kinetics and Molecular Modeling,Liana D.,Chulalongkorn University (Thailand),3,Multidisciplinary Digital Publishing Institute (MDPI),2024
HIV/AIDS knowledge and attitudes towards HIV and condom use among internally displaced Libyan males. Is there a need to implement sex education?,Elamouri F.,MSH Medical School Hamburg (Germany); Chulalongkorn University (Thailand),0,Taylor and Francis Ltd.,2024
Electrically Conductive Natural Rubber Composite Films Reinforced with Graphite Platelets,Kitsawat V.,Chulalongkorn University (Thailand),3,Multidisciplinary Digital Publishing Institute (MDPI),2024
Massive ambitwistor-strings; twistorial models,Albonico G.,University of Oxford (United Kingdom),1,Springer Science and Business Media Deutschland GmbH,2024
Sociospatial relations through development projects: the alignment of Thailand’s EEC and China’s BRI,Thongsawang S.,Chulalongkorn University (Thailand),1,Routledge,2024
Single Working Portal Technique with 70-Degree Arthroscope for Arthroscopic Bankart Repair,Thamrongskulsiri N.,"Faculty of Medicine, Chulalongkorn University (Thailand)",0,Elsevier B.V.,2024
Isolation and structure determination of a new depsipeptide crocapeptin C from the myxobacterium Melittangium boletus,Thetsana C.,Shizuoka University (Japan),0,Taylor and Francis Ltd.,2024
Enhancing solubility and stability of piperine using β-cyclodextrin derivatives: computational and experimental investigations,Ali S.,Chulalongkorn University (Thailand),1,Taylor and Francis Ltd.,2024
A nonuniform local limit theorem for Poisson binomial random variables via Stein’s method,Auld G.,Chulalongkorn University (Thailand),1,Institute for Ionics,2024
Beyond symptomatic atrial fibrillation: is it time to be proactive?,Prasitlumkum N.,Mayo Clinic (United States),0,BMJ Publishing Group,2024
A Technique for Hamstring Donor-Site Injection With Anesthetic Cocktail in Remnant-Preserving Anterior Cruciate Ligament Reconstruction,Thamrongskulsiri N.,"Faculty of Medicine, Chulalongkorn University (Thailand)",0,Elsevier B.V.,2024
Cost-utility analysis of sutureless and rapid deployment versus conventional aortic valve replacement in patients with moderate to severe aortic stenosis in Thailand,Permsuwan U.,Chiang Mai University (Thailand),0,Public Library of Science,2024
A smart decentralized identifiable distributed ledger technology-based blockchain (DIDLT-BC) model for cloud-IoT security,Selvarajan S.,Leeds Beckett University (United Kingdom),1,John Wiley and Sons Inc,2024
Three new acridone alkaloids from Glycosmis lanceolata (Blume) D.Dietr. and their cytotoxic effects on tumour cell lines,Ito C.,Meijo University (Japan),0,Taylor and Francis Ltd.,2024
Clinical Management of Brugada Syndrome: Commentary From the Experts,Cutler M.J.,Intermountain Medical Center (United States),4,Lippincott Williams and Wilkins,2024
Distress Symptoms of Old Age and Mild Cognitive Impairment are Two Distinct Dimensions in Older Adults Without Major Depression,Tran-Chi V.L.,"Faculty of Medicine, Chulalongkorn University (Thailand)",2,Dove Medical Press Ltd,2024
Novel Application of 1064-nm Picosecond Nd:YAG Laser for Male Androgenetic Alopecia Treatment,Lueangarun S.,Dhurakij Pundit University (Thailand); DeMed Clinic Center (Thailand),3,Matrix Medical Communications,2024
JADES: Resolving the Stellar Component and Filamentary Overdense Environment of Hubble Space Telescope (HST)-dark Submillimeter Galaxy HDF850.1 at z = 5.18,Sun F.,The University of Arizona (United States),12,Institute of Physics,2024
"Effect of supersaturated dissolved oxygen on growth-, survival-, and immune-related gene expression of Pacific white shrimp (Litopenaeus vannamei)",Patkaew S.,Walailak University (Thailand),1,Veterinary World,2024
Cost-Utility Analysis of Non-Contrast Abbreviated Magnetic Resonance Imaging for Hepatocellular Carcinoma Surveillance in Cirrhosis,Decharatanachart P.,"Faculty of Medicine, Chulalongkorn University (Thailand)",5,Editorial Office of Gut and Liver,2024
"Prevalence, virulence characteristics, and antimicrobial resistance of Vibrio parahaemolyticus isolates from raw seafood in a province in Northern Thailand",Siriphap A.,University of Phayao (Thailand),5,Oxford University Press,2024
Assessing the impact of social media interaction in s-commerce strategies mediated by relationship quality,Hariguna T.,Universitas Amikom Purwokerto (Indonesia),2,"EnPress Publisher, LLC",2024
Real options analysis application for floodgate operation to control salinity intrusion in agricultural areas,Decha E.,"Kasetsart University, Kamphaeng Saen Campus (Thailand)",0,Taylor and Francis Ltd.,2024
Cost and effectiveness comparison of sirolimus versus standard treatment in Kasabach-Merritt phenomenon: a real-world evidence study in Thailand,Tongruang C.,"Faculty of Medicine, Chulalongkorn University (Thailand)",0,Taylor and Francis Ltd.,2024
Parasitic Egg Detection and Classification in Low-Cost Microscopic Images Using Transfer Learning,Suwannaphong T.,University of Bristol (United Kingdom),3,Springer,2024
Incremental versus conventional haemodialysis in end-stage kidney disease: a systematic review and meta-analysis,Takkavatakarn K.,"Faculty of Medicine, Chulalongkorn University (Thailand)",4,Oxford University Press,2024
"Antimicrobial resistance, virulence profile, and genetic analysis of ESBL-producing Escherichia coli isolated from Nile tilapia in fresh markets and supermarkets in Thailand",Hinthong W.,Chulabhorn Royal Academy (Thailand),4,Public Library of Science,2024
MHCSeqNet2 - improved peptide-class I MHC binding prediction for alleles with low data,Wongklaew P.,Chulalongkorn University (Thailand),0,Oxford University Press,2024
