,word,coefficient
4614,cryoprotectants,366032992517.51544
2769,camptothecin,365822800969.1617
4830,cytb,365751293997.2076
13191,neoformans,365135484181.1665
1909,belcheri,365080827684.61194
3748,cogon,364458183547.37415
1362,asparaginase,363954525374.77905
7884,futile,362905573644.9865
1603,autolysis,362619616311.7717
4414,corruption,362294960955.17847
2628,burned,361193849182.6046
16460,quasars,360640761493.9781
555,aldosteronism,360635018596.86224
11669,marginale,360192367130.97705
7777,freshener,359824910023.6627
3046,cati,359298135677.59265
1784,barbouri,359154248650.7678
191,actin,358894717875.08624
64,abvd,358159247060.6969
4862,dactylon,358001914471.47943
515,airs,357764317323.49506
1507,attendants,356798879629.056
6606,entrainer,356137149769.1496
565,algebras,356085715466.1439
824,anarchy,355473330339.572
424,afomp,355440731095.15686
11487,magnetoinductive,353098560270.4905
1648,awam,352637221370.4688
6685,eplerenone,351990551962.3457
6367,embedden,351920652556.6214
6168,eec,351521888988.8284
6948,exciting,351253701297.7376
3843,combat,351253123623.93427
2326,bmp,350890664000.71216
4264,contraindication,350731990576.8769
6620,envelop,350406725147.3956
5234,depsidones,349665390892.41016
2982,caseolyticus,349549713536.26294
1166,approximately,349385985602.4032
10378,japonicus,348953718811.9102
1668,azide,348542852187.4778
4065,conducive,347671882837.88666
6210,eicosapentaenoic,347644799782.3865
5170,denitrogenation,347421466613.4249
6395,emerita,347199442484.7183
981,anthropocentric,346903165919.8095
20278,trachomatis,346809326221.4798
3359,chipping,346746286993.7004
14963,phospholipid,345976375587.5636
2480,breadth,345169912525.04926
10687,kvp,341775859943.50165
1849,bauhiniae,340924122223.6111
3550,clarification,340898179188.0606
21032,utmost,340510075975.7346
2066,biocarbon,340160942471.8759
805,analogy,339963443487.6239
7533,flna,339833605261.64636
5450,dichlorocarbene,339688813614.77454
13775,officers,339653370483.0894
1441,asymmetrical,339182554946.8812
15908,prime,337877760753.7111
8299,gombe,337165595190.43286
6536,energies,336828143759.02905
54,absorptive,335900786050.61633
1000,anticholinergics,334480032356.65204
4759,cyclam,333565240389.46136
1360,asked,333532932579.5251
791,anadara,333400422040.20105
21748,yaml,333293014416.52875
8817,heterodimers,332403002440.3744
7603,fluvial,330828643102.5134
19229,substructures,330705328355.5355
5360,deviance,330431188412.3898
1085,anxiolytic,329877834490.32886
1548,augments,329322587989.5464
4630,cryptotype,328966225657.9537
21143,vdu,328007600940.95514
4480,court,327382891974.9761
5514,dihydrofolate,327226907980.3921
713,amendments,327112669580.5891
2195,biosignal,327088950423.6692
5296,desmoxytes,326414559417.4746
3096,cdta,326309897693.0982
20444,transtendon,325000664632.3024
7826,fulfill,324224215169.99396
4184,constitutively,323452493158.03687
2658,bx,322717571732.2974
4251,contours,322269482790.77234
2337,bodyweight,321665297479.5808
16428,qspr,321547889508.2161
7482,fixation,321076126932.6938
1962,benzylisoquinoline,320171815178.4119
13252,neuritis,319060184358.48376
6885,evangelical,318822358349.82935
4877,damicornis,318746344424.0707
1210,arbuscular,318051466711.10236
2945,carnitine,317686804049.126
702,ameliorate,317373658053.7411
634,alluropus,316995452618.39606
3586,clearwing,316909286811.54114
6118,echonet,316207065867.7484
2910,cardinality,315952625576.90576
3815,colonisation,315523631114.502
1012,antidepressive,315337903408.43634
2289,blepharoptosis,314038324640.411
7914,gains,313968106366.57355
117,acetalization,313922249849.31464
19815,tendons,313845946502.08984
8479,gummy,313271886819.09436
1256,arithmetic,312131498682.9139
1828,basketball,311738341854.21783
8868,highest,311410668968.51807
14219,oxytoca,311263786706.1051
20164,toe,311165836929.8291
7395,ficus,310996079846.83057
6695,equating,310707015924.7174
1114,apocyclops,310416207930.8041
475,agonist,309949492538.63214
71,acanthus,309843965161.7055
3969,complexometric,309607452458.88275
7386,fibromyxoid,309524402639.65564
18959,stick,309465214479.2549
2766,campesina,309405887358.0811
4655,cue,308645427505.4578
16578,rainfed,308083637735.8336
7555,flours,307302262578.08936
3738,coffeae,305829892727.3416
616,allium,305515370864.2658
21116,varices,304069818648.417
462,aggressive,303872797059.7686
2745,calorimetry,303819022340.8167
7125,extraterritorial,303665488112.8497
4256,contractility,301684398900.2744
3740,coffees,301572034172.7014
10596,kinesin,301532526147.1045
6048,dynamodb,301456349177.5588
519,aisc,301422728946.3203
550,aldol,301347995763.96954
5642,discounted,301000597780.2294
7783,frictions,300861145802.03687
16625,rastrelliger,300694027220.7382
11699,mars,300560484959.80896
108,accumulations,300283999755.69135
841,andalusite,300265219634.03326
3339,chilblains,299732501888.81726
213,activator,298896955560.5838
6016,duodenoscopes,298783950926.70135
5861,don,298224565640.91437
4330,copies,298135993715.8845
1335,ascaris,297915285136.3629
2292,blinatumomab,297612179955.49536
4957,debris,297585768008.21185
2858,caravaggio,297516679881.74304
1089,aparamarta,297385958628.72754
857,anemonefish,297177095958.4448
20106,tilapinevirus,296497200602.3257
4141,connectivist,295995593674.86584
11385,lycopersicum,295634560218.47253
5572,dioxane,295634485216.3562
4839,cytolethal,295217188706.05994
704,ameliorating,295090950580.8613
1669,azido,295086332485.59283
280,adenotonsillectomy,294703690312.6844
11095,limestone,294696728051.23254
494,aguas,294178403672.4695
20852,unexplained,294132843180.1713
3796,colletotrichum,293727744647.36957
887,angles,293308406119.4778
18008,sentient,292969908788.2501
7147,ezstrobe,292381379457.0548
6530,endovascular,291884280660.74036
5918,dracaena,291690566708.6397
9749,inflaton,291344483328.9539
10448,junior,291048199164.7638
5562,dinosaur,289736005908.729
16863,refractometer,289273742184.07263
4271,contributed,288667760528.9634
1951,benzophenones,288581458358.4227
7775,frequently,288544080623.4894
2917,cardiomyopathies,288316015488.45807
8026,gelidium,288103464024.74335
2949,carnivorous,287638458434.3765
3803,collocations,287508380813.7044
11712,masoninae,286749509461.6101
2429,bps,286625680874.5003
2993,cassette,286592633496.80164
3322,chen,286549009228.9754
6607,entrance,286337581027.41925
3745,cognitiva,286099006371.4222
4296,converged,285553234615.3786
8025,gelator,285102796081.6935
11733,mat,284949353663.7525
9135,hydroconversion,284709199054.7725
199,actinomycetemcomitans,284693398712.284
16936,rejuvenated,284577276757.6144
19649,talaromyces,284577276359.8949
1772,banja,284443722169.76764
5115,delhi,283912023164.9058
20030,thongphaphumensis,283755513531.795
5865,donn,283733923612.7219
12356,miscible,283696886473.46014
2782,cancerous,283289596665.59357
7389,fibrotic,283151744864.7439
2645,butt,282565444061.04364
2418,bout,281818424865.8525
7451,finlaysonianum,281710300789.98615
2880,carbonates,281141558882.89026
1018,antidotes,280833059305.2548
5996,duchenne,280676089481.96136
1162,approval,280104526942.9945
2390,boro,279648123344.927
1716,bad,278514349981.59515
4905,dashboards,278113316861.1414
7503,flavobacterium,277994706178.68256
104,accounts,277742481161.3235
1124,apostate,277698038085.9211
12281,millipedes,277694222051.67834
12435,mod,277625147485.4805
2795,candy,276825166588.8266
20070,thwaitesianum,276553054438.1863
3058,causadoras,276534353824.9256
3336,chihuahua,276341628991.7543
14333,paniala,275771477846.7197
3508,circumferential,275756053753.6544
1973,bertia,275652254078.88776
746,amo,275123892525.0125
10163,introductory,275081946722.3688
6299,electrons,274708174779.76898
9230,hypereosinophilia,274655118217.3977
11457,macrovacuoles,274629246885.16678
2683,caesarean,274129866846.8781
15681,potentiodynamic,273877978304.35526
20028,thiuram,273473100787.93817
784,amyloidosis,273325692809.88245
3890,communautaires,273311630676.9814
21426,wage,273087217143.31592
7446,fingers,272669449192.5069
764,amphoe,272641612269.98755
473,aglycones,272160114355.40405
660,alternan,271838330344.56735
849,androgenic,271748824472.6449
5442,dibutyl,271692056871.29807
10050,interpersonal,271627513013.89685
3542,cladded,271539176499.10187
15312,plecoglossicida,271520500560.32657
6235,elastomers,270825137518.86627
4826,cystine,270679378340.43695
3190,cese,270492600814.03708
4944,deal,269968516761.37402
13090,napping,269968516527.3992
17707,saviano,269618761783.3652
6589,enterocytozoon,269463286468.151
10690,kyauk,269418848959.53455
1895,bees,269196632967.1661
6965,exert,269001331752.25995
14714,perianal,268977208581.2528
21442,wandering,268704744867.82468
3078,cayley,268697605767.78632
2654,buy,268662653129.5416
3029,categorized,268633808519.16028
14114,outperforms,268234678230.2992
5551,dimethylsulfoniopropionate,268192405150.31573
486,agrochemicals,268170615736.79672
14449,parotitis,268101116588.494
1812,basalts,268044735475.35953
3138,centipede,267982790678.2131
12411,mixotrophically,267845436947.53113
4228,contested,267840215071.64758
21675,writers,267476702923.7826
7418,fillets,266911157253.76816
254,adder,266736447850.30145
20587,trispinosus,266246656297.9948
17855,sealant,266080705372.6557
1915,belle,265853879484.02594
2590,buffer,265748778975.64188
13345,nevi,265614842552.90375
6919,exam,265574863502.30157
4502,cpgs,265479172945.94247
8118,germanica,265354621514.61353
3762,coinherited,265139867379.4339
10577,khun,264864046847.6286
7521,flexibly,264564590687.55914
3530,citrinum,264255313632.5094
11219,llobacillus,264138468741.79202
5032,deepankar,263790422627.03946
21465,wasteaware,263705646461.0595
2831,capitis,263638327518.286
12419,mmi,262992373945.063
6289,electrolyzed,262672260711.79346
10844,lau,262529063982.4938
4067,conductances,261913047196.57578
2537,broken,261630111083.10333
5809,dizygotic,261433856415.20612
1068,antiseptic,261068144216.10858
18946,stereoselectivity,260792456977.8345
18773,spotting,260411918616.9225
7801,frothing,260288202475.2789
376,advertisement,259643498785.3254
2718,calculator,259468038570.15414
6198,egf,259447289258.10785
1926,beneath,259342226493.99854
3254,characterizes,259290939027.09763
4463,counterpoise,258955311449.56174
9992,interdigitated,258939861591.67633
14334,paniculata,258864024086.8166
5747,dissolvable,258682164310.44604
4503,cpr,258208969163.58304
7973,gasket,257985564790.82733
16708,rebellion,257590572105.44586
6420,empiryczne,257337024984.77533
1646,awaiting,257266879008.17117
1966,bernese,257195236091.1159
4999,decoders,257165569402.87048
12534,mono,257125402245.26212
21210,verrucous,256784940676.02997
11917,meniscal,256684830896.22714
6166,edwardsiella,256637343890.50018
3104,cefazolin,256594280612.1982
13670,nyoir,256175694533.98962
11132,links,255998454227.03308
3567,clausena,255994954344.92255
1093,apatite,255170679640.3437
2984,casework,255111712166.20197
17276,revolution,254843523873.62585
1172,aprotic,254540985030.35385
5923,dragons,254493524860.09903
4074,conductor,254281440884.34354
17235,retrofractum,254224197254.13422
447,agglutinates,254155833129.86435
1021,antiferromagnetic,254049562556.33295
5545,dimeric,253987058077.60675
907,anions,253850315101.57803
5157,dendam,253785375972.42047
3872,commercialised,253136799607.2485
598,alleged,252986882427.2874
10664,kras,252932687626.8136
15324,plicatus,252313769481.06992
1135,appended,252160425392.07632
20825,underrated,251567336876.31262
1453,atena,251389446447.52332
4324,coordinated,251349348447.5841
837,anchoring,251256000193.41113
1411,assistants,250594154713.83603
10094,intha,250554945247.11185
4495,cowa,250541540169.87045
347,adrenocorticotropic,250426309699.0136
342,adopting,250359213624.40326
4090,confinement,250350566869.4423
9420,imeko,250175959166.42456
1265,arog,250063223371.1667
6348,elman,250037643621.4928
1233,arcuate,249925412007.74707
10551,kev,249912765252.2682
3990,composters,249759055167.85718
13664,nutshell,249528665515.37122
1736,baked,249528665161.71094
3185,certified,249389112819.64804
7412,file,249053431804.73935
653,alsb,248632570444.3464
4082,confiabilidade,247655562586.75845
3557,classificatory,247644383834.74866
5315,details,247541702594.40564
5478,differentially,247220118812.71655
4454,countably,246749613833.42526
15199,piper,246713616745.02597
12933,nacre,246578674450.41858
18729,spirobifluorene,246320256493.2965
2864,carbapenems,246312205648.31628
8828,heteroresistance,246312205639.79462
20599,tromethamine,246312205475.56232
11761,matured,246202625654.95465
1936,bennet,245640804025.48364
474,agn,245437784435.4113
20251,tox,245206186930.14
1992,bhimal,244891383608.78867
19024,stormwater,244857141271.026
2157,biomolecules,244840454453.21948
6548,engulfment,244673654712.9943
2226,biportal,244542819780.99948
8851,hexose,244320369194.3523
17493,rrna,244092087466.8367
1398,assessement,243863996512.4961
3071,caverns,243722296643.8669
6594,enterotoxins,243449277560.20636
2267,blade,243307804654.94812
5619,disastrous,243230991572.79718
6655,epigeiobracon,243175999108.82516
10101,intrabone,242864517254.43088
8591,hansen,242647249183.2494
4590,crownless,242561087674.10266
3582,cleanup,241350970207.1559
14489,passiflora,240958387715.70578
6491,endocycloplasty,240877472188.9022
6501,endomicroscope,240619071736.4298
10815,larvicidal,239792810336.3595
1227,archive,239739469614.17758
7880,fusigen,239638918199.00827
3206,chaew,239436195790.54977
18709,spill,239423832474.18234
13784,offshore,239315861637.87003
2881,carbonic,239238138879.69684
1965,berghei,239132105357.39072
6811,esus,239039175783.052
5962,drones,238575624786.6521
3764,cojumps,238382049363.95676
4664,culled,238056662682.37134
3095,cdse,238017900773.01794
19567,synechocystis,237970744713.72086
7724,fourier,237850588466.80927
7538,flock,237738998341.21887
765,amphora,237470093442.16925
4319,coomassie,237131922820.9014
3374,chlamydophilosis,236799779989.5508
9523,impeller,236644182388.9258
6231,elastics,236525222789.5573
4434,cossus,236487298900.13382
4362,coregulation,236160917203.2851
17472,rotunda,235606064255.73608
6713,equivalence,235558085591.1962
20264,tpo,235099807306.2407
7832,fulvate,235066269867.49857
18303,silviterrae,234590500182.44482
8234,gluonic,234267092533.2129
9035,housekeeping,234176675254.91827
21057,vagina,234037363155.13223
16413,pyxinae,233444078634.1899
1427,asthenozoospermic,233402595071.15903
7326,ferment,233280008258.4256
558,alexandrian,233273992497.30585
20952,updating,232756650659.79944
20227,torsional,232608384500.31625
5427,diarrheic,232509347375.3544
6217,ejaculation,232178506278.39618
21441,wander,232160616219.13547
8178,glabrata,231796122469.15997
5252,dermatologists,231785912620.00467
13831,oman,231253982044.5637
5019,decoy,231003998241.88113
16665,reactivation,230949629272.1603
15036,photovoice,230349236791.70557
11217,lizardfish,229768138418.2513
1956,benzoyl,229740545992.273
8004,gauze,229582557756.90704
583,alkaliphilic,229334120167.77808
8934,hocl,229244025745.46136
4519,craniotomy,229132698147.4057
3537,civets,229131124866.2478
7715,foster,228758635032.55457
1113,apocalyptic,228674466614.57327
14366,paraclinoid,228659013954.8102
14820,perylenetetracarboxylic,228631426807.92456
7760,frankfort,228614893457.6536
2228,birds,228498458235.07434
14585,peat,228498128082.9516
18557,somnolence,228253180655.95184
4619,cryptococcosis,228123357046.28217
21693,xanthenoid,228090900074.09583
3767,cola,227792851764.977
5051,defensive,227597999207.74695
17326,rhodococcus,227597580276.1561
176,acridone,227300416596.5718
4814,cypress,227241141895.5683
4260,contracture,227217014308.32074
1071,antitubercular,227194594769.16232
5424,diaphragmatic,227046389292.08112
7400,fieldwork,226601217215.90808
3482,ciliary,226392648001.40793
11362,luminous,225982646215.37964
1073,antitumor,225854612153.9036
10510,keeton,225666078092.5006
20374,transforms,225611012576.03152
4473,couples,225442995285.7254
602,allenbatrachus,225264179425.53558
18518,solanum,225160024822.82147
1358,asiaticus,224877687156.0715
12291,mimosoides,224614516283.88098
2433,brachiata,224578589180.39166
6239,elders,224547222706.43283
7072,expropriation,224421756212.82355
3273,chatbots,224246387424.24368
7195,faeces,223387456816.18216
12702,mucin,223070281560.35965
14447,parotid,223068436010.6684
1191,aquimaris,222828550792.1112
11579,mammal,222745618563.5176
7551,florum,222623551725.25485
2989,casos,222483200863.85916
2868,carbendazim,222226574312.55008
14601,pedobarographic,221797115855.35495
7074,extant,221302484402.12335
11040,lichenicola,221188409310.48685
17511,rugby,221075393501.8456
3460,chroococcus,220760414067.03223
12541,monochoria,220715018995.91818
20661,tumours,220546945646.21228
758,amphibole,220198975983.51944
4523,crashes,220010393493.248
92,accidents,220010393238.83588
5568,diophantine,219984477279.229
5840,doggerella,219892594415.02048
11105,limonella,219788132474.44226
15111,phytopythium,219752792622.1698
6434,emulsification,219690219717.42657
1521,attractive,219529754618.899
6818,ethambutol,219529754591.67822
1338,ascertainment,219508222574.31357
6619,enumeration,219429020492.55707
11056,lifetime,219199742742.07574
12907,myoelectric,219101732300.4026
8347,gram,218786653709.1246
5406,dialogic,218732240091.07895
1864,bdnf,218599791480.55786
7407,filamentous,218587293110.85248
2256,bivalent,218569509502.271
21457,warts,218569509374.85815
5934,dream,218353538857.53552
5978,drumm,218116566993.87262
8913,histomorphometric,217925037941.89117
20155,toadfish,217909066157.7407
722,amidoximated,217736673963.33524
7469,fishermen,217705021160.73224
10125,intralesional,217328549257.07654
6922,examine,217307750444.6052
12793,multipotent,217208809350.55188
11920,menopausal,217043821564.18024
5383,dhamma,217011067904.79208
12581,monotone,216422926170.6082
7657,foraminifers,216245730056.22778
2125,bioguided,216102507065.56674
3601,clifford,215554816635.21024
21272,vignette,215328678790.62296
2074,biocide,215323571340.0834
4127,conjugately,215311959741.01175
3957,complements,215174117448.1285
4532,creatine,214827454851.43393
2610,bunching,214791639132.82718
5693,disodium,214728480126.8593
5508,digiti,214560254294.29947
6995,exosome,214353878036.64157
208,activate,214310163223.90884
3599,clients,214252941493.59555
5949,drill,214213767053.91135
5012,decompositions,214209185259.23972
2901,carcinogenic,214073205899.3456
19889,tetralogy,214050892279.55127
13109,nasolabial,214021745695.19608
2555,browning,213798852502.7968
3861,comitatives,213686432822.7181
9314,hypotonic,213493314865.58582
14228,pacemaker,213211234634.58566
2750,camaldulensis,213042381532.9056
14605,pedunculata,212908379085.4879
3268,charopidae,212752854430.68887
4504,cptii,212735877737.47852
2619,buri,212656843333.3526
4819,cyproterone,212373501890.7431
7767,freight,212305495869.35037
14663,pentasaccharide,212109941966.70877
4583,crosssectional,212045471977.78113
3896,communism,212038874929.09122
4901,daripada,211826306751.09302
17092,rescued,211465991864.21112
2777,canalicular,211328375175.1904
4432,cospatial,211241764696.99908
9593,inching,211149739073.40787
14085,osteotomy,211056972346.22992
17856,sealed,210791211838.98444
198,actinomycete,210678040447.99292
6050,dynapenia,210498517286.69098
859,anesthesiologist,210423362972.72177
12613,mori,210403681174.73776
12795,multiproxy,210215708868.20535
16602,ranges,209869190548.77997
1274,aromatization,209174366563.60373
15201,piperaquine,209023018686.6555
8873,highlights,208995121446.0957
9414,imazapyr,208955407366.82025
3351,chimerism,208472615765.0984
